# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
  76000      4.73e-02    3.38e-02      1.16e-03    1.17e-03      3.91e-02    2.79e-02    4.6e-07
  77000      2.79e-02    2.78e-02      3.29e-04    8.85e-04      2.31e-02    2.30e-02    4.6e-07
  78000      4.86e-02    3.30e-02      1.09e-03    7.39e-04      4.02e-02    2.73e-02    4.6e-07
  79000      3.68e-02    3.00e-02      1.24e-03    4.07e-04      3.03e-02    2.49e-02    4.6e-07
  80000      2.62e-02    3.78e-02      3.05e-04    1.01e-03      2.17e-02    3.12e-02    4.6e-07
  81000      3.21e-02    3.38e-02      6.53e-04    5.94e-04      2.84e-02    2.99e-02    2.7e-07
  82000      2.51e-02    2.77e-02      6.03e-04    4.91e-04      2.22e-02    2.45e-02    2.7e-07
  83000      4.49e-02    2.51e-02      7.74e-04    4.25e-04      3.97e-02    2.22e-02    2.7e-07
  84000      3.63e-02    2.60e-02      8.54e-04    1.15e-03      3.21e-02    2.28e-02    2.7e-07
  85000      3.30e-02    3.39e-02      4.44e-04    9.84e-04      2.93e-02    2.99e-02    2.7e-07
  86000      4.34e-02    2.16e-02      1.66e-03    2.83e-04      4.00e-02    2.00e-02    1.6e-07
  87000      4.03e-02    3.03e-02      1.41e-03    8.35e-04      3.72e-02    2.80e-02    1.6e-07
  88000      3.71e-02    3.77e-02      7.41e-04    1.22e-03      3.44e-02    3.48e-02    1.6e-07
  89000      4.32e-02    2.91e-02      1.15e-03    7.83e-04      3.99e-02    2.69e-02    1.6e-07
  90000      2.16e-02    2.71e-02      3.12e-04    6.00e-04      2.00e-02    2.51e-02    1.6e-07
  91000      2.28e-02    2.75e-02      4.28e-04    5.09e-04      2.17e-02    2.63e-02    9.8e-08
  92000      3.19e-02    2.57e-02      3.69e-04    2.58e-04      3.04e-02    2.45e-02    9.8e-08
  93000      2.96e-02    2.92e-02      6.86e-04    8.40e-04      2.82e-02    2.78e-02    9.8e-08
  94000      3.97e-02    2.50e-02      1.45e-03    7.03e-04      3.77e-02    2.38e-02    9.8e-08
  95000      3.42e-02    2.68e-02      9.79e-04    7.73e-04      3.25e-02    2.55e-02    9.8e-08
  96000      2.84e-02    2.51e-02      8.92e-04    5.07e-04      2.75e-02    2.44e-02    5.9e-08
  97000      3.50e-02    2.25e-02      7.83e-04    7.63e-04      3.40e-02    2.18e-02    5.9e-08
  98000      3.54e-02    2.49e-02      9.16e-04    3.87e-04      3.43e-02    2.41e-02    5.9e-08
  99000      3.22e-02    2.56e-02      9.08e-04    6.38e-04      3.12e-02    2.48e-02    5.9e-08
 100000      4.06e-02    2.96e-02      1.69e-03    6.46e-04      3.91e-02    2.87e-02    5.9e-08
