# Step   Epot       Ekin       Total      Temp   Pressure(GPa)  Volume(Å³)  
274.0    -438.023834 0.280676   -437.743158 271.43 0.102765       1728.0000   
275.0    -438.164334 0.581310   -437.583024 562.15 0.109584       1728.0000   
276.0    -438.260314 0.417631   -437.842683 403.87 0.044355       1728.0000   
277.0    -438.242978 0.394795   -437.848183 381.78 -0.034335      1728.0000   
278.0    -438.147360 0.219802   -437.927558 212.56 -0.076100      1728.0000   
279.0    -438.078525 0.293203   -437.785321 283.54 -0.099051      1728.0000   
280.0    -438.139378 0.321375   -437.818003 310.78 -0.091216      1728.0000   
281.0    -438.192922 0.325694   -437.867228 314.96 -0.054225      1728.0000   
282.0    -438.145252 0.323807   -437.821445 313.14 -0.025035      1728.0000   
283.0    -438.077772 0.259608   -437.818164 251.05 -0.026928      1728.0000   
284.0    -438.048192 0.335442   -437.712750 324.39 -0.022827      1728.0000   
285.0    -438.059309 0.394586   -437.664722 381.58 -0.032148      1728.0000   
286.0    -438.093183 0.466387   -437.626796 451.02 -0.024874      1728.0000   
287.0    -438.129696 0.330064   -437.799632 319.19 -0.010990      1728.0000   
288.0    -438.163873 0.291092   -437.872781 281.50 0.023581       1728.0000   
289.0    -438.251874 0.328628   -437.923247 317.80 0.032532       1728.0000   
290.0    -438.271156 0.333807   -437.937350 322.81 0.021748       1728.0000   
291.0    -438.180988 0.224717   -437.956271 217.31 -0.007172      1728.0000   
292.0    -438.078471 0.452036   -437.626436 437.14 -0.069683      1728.0000   
293.0    -438.097384 0.347280   -437.750103 335.84 -0.155563      1728.0000   
294.0    -438.167401 0.400440   -437.766961 387.24 -0.202828      1728.0000   
295.0    -438.124191 0.390123   -437.734068 377.27 -0.182471      1728.0000   
296.0    -438.028466 0.210965   -437.817501 204.01 -0.086333      1728.0000   
297.0    -438.004481 0.312730   -437.691751 302.42 0.047394       1728.0000   
298.0    -438.058908 0.371583   -437.687325 359.34 0.132915       1728.0000   
299.0    -438.121999 0.414050   -437.707949 400.40 0.168388       1728.0000   
300.0    -438.191840 0.404885   -437.786954 391.54 0.126925       1728.0000   
301.0    -438.209672 0.339751   -437.869921 328.55 0.073583       1728.0000   
302.0    -438.194122 0.399952   -437.794169 386.77 -0.011643      1728.0000   
303.0    -438.199332 0.322143   -437.877189 311.53 -0.102014      1728.0000   
304.0    -438.202344 0.391447   -437.810897 378.55 -0.155242      1728.0000   
305.0    -438.189525 0.332781   -437.856743 321.81 -0.153452      1728.0000   
306.0    -438.164279 0.422720   -437.741558 408.79 -0.105930      1728.0000   
307.0    -438.161133 0.280612   -437.880521 271.36 -0.072331      1728.0000   
308.0    -438.156933 0.358830   -437.798103 347.00 -0.025093      1728.0000   
309.0    -438.140398 0.376453   -437.763945 364.05 0.025459       1728.0000   
310.0    -438.098066 0.370074   -437.727992 357.88 0.067658       1728.0000   
311.0    -438.013554 0.279378   -437.734176 270.17 0.056988       1728.0000   
312.0    -437.981733 0.455449   -437.526284 440.44 0.031047       1728.0000   
313.0    -438.075826 0.572540   -437.503285 553.67 -0.001491      1728.0000   
314.0    -438.145570 0.511120   -437.634450 494.28 -0.023452      1728.0000   
315.0    -438.200458 0.523124   -437.677334 505.88 -0.073485      1728.0000   
316.0    -438.231377 0.258699   -437.972678 250.17 -0.091241      1728.0000   
317.0    -438.255818 0.412316   -437.843501 398.73 -0.114488      1728.0000   
318.0    -438.231443 0.354559   -437.876884 342.87 -0.120879      1728.0000   
319.0    -438.176624 0.401301   -437.775323 388.08 -0.098139      1728.0000   
320.0    -438.159385 0.298490   -437.860895 288.65 -0.067732      1728.0000   
321.0    -438.163402 0.393656   -437.769746 380.68 0.004951       1728.0000   
322.0    -438.073800 0.327905   -437.745895 317.10 0.067994       1728.0000   
323.0    -437.933279 0.342265   -437.591014 330.99 0.106563       1728.0000   
324.0    -437.932875 0.361662   -437.571213 349.74 0.069513       1728.0000   
325.0    -438.049571 0.473952   -437.575619 458.33 0.013581       1728.0000   
326.0    -438.110841 0.461669   -437.649173 446.45 -0.038101      1728.0000   
327.0    -438.052615 0.336084   -437.716530 325.01 -0.036418      1728.0000   
328.0    -438.011735 0.336516   -437.675218 325.43 -0.018522      1728.0000   
329.0    -438.099927 0.304689   -437.795238 294.65 -0.004826      1728.0000   
330.0    -438.192847 0.454287   -437.738560 439.32 0.006271       1728.0000   
331.0    -438.269948 0.490323   -437.779625 474.16 0.013284       1728.0000   
332.0    -438.286638 0.590166   -437.696472 570.72 0.024664       1728.0000   
333.0    -438.238603 0.429893   -437.808710 415.73 0.006123       1728.0000   
334.0    -438.191026 0.144521   -438.046505 139.76 -0.045584      1728.0000   
335.0    -438.139960 0.343186   -437.796774 331.88 -0.112826      1728.0000   
336.0    -438.178642 0.479265   -437.699377 463.47 -0.132829      1728.0000   
337.0    -438.269331 0.402554   -437.866777 389.29 -0.097013      1728.0000   
338.0    -438.325782 0.451972   -437.873810 437.08 -0.014813      1728.0000   
339.0    -438.291467 0.399993   -437.891473 386.81 0.041330       1728.0000   
340.0    -438.185968 0.237216   -437.948751 229.40 0.054211       1728.0000   
341.0    -438.092911 0.280938   -437.811972 271.68 0.025633       1728.0000   
342.0    -438.070152 0.291828   -437.778324 282.21 -0.015575      1728.0000   
343.0    -438.169980 0.456895   -437.713085 441.84 -0.039212      1728.0000   
344.0    -438.189376 0.298707   -437.890668 288.86 -0.041395      1728.0000   
345.0    -438.179889 0.387951   -437.791938 375.17 -0.003451      1728.0000   
346.0    -438.236562 0.509723   -437.726839 492.92 0.036879       1728.0000   
347.0    -438.295171 0.761705   -437.533466 736.60 0.072006       1728.0000   
348.0    -438.286060 0.422115   -437.863946 408.20 0.024921       1728.0000   
349.0    -438.297908 0.370876   -437.927032 358.65 -0.050911      1728.0000   
350.0    -438.288873 0.432333   -437.856540 418.09 -0.101780      1728.0000   
351.0    -438.249157 0.361336   -437.887821 349.43 -0.122967      1728.0000   
352.0    -438.193103 0.312843   -437.880261 302.53 -0.095930      1728.0000   
353.0    -438.100468 0.318380   -437.782089 307.89 0.002329       1728.0000   
354.0    -437.978431 0.325494   -437.652937 314.77 0.097602       1728.0000   
355.0    -437.939504 0.341686   -437.597818 330.43 0.159654       1728.0000   
356.0    -438.064334 0.357933   -437.706401 346.14 0.102997       1728.0000   
357.0    -438.114108 0.403808   -437.710300 390.50 -0.040869      1728.0000   
358.0    -438.096526 0.384391   -437.712135 371.72 -0.142612      1728.0000   
359.0    -438.086708 0.247618   -437.839089 239.46 -0.179404      1728.0000   
360.0    -438.166255 0.374266   -437.791989 361.93 -0.117691      1728.0000   
361.0    -438.253374 0.501115   -437.752260 484.60 0.011064       1728.0000   
362.0    -438.205635 0.302468   -437.903167 292.50 0.142295       1728.0000   
363.0    -438.092833 0.301645   -437.791189 291.70 0.231333       1728.0000   
364.0    -438.069637 0.359924   -437.709713 348.06 0.222683       1728.0000   
365.0    -438.065538 0.242871   -437.822667 234.87 0.142568       1728.0000   
366.0    -438.038890 0.430299   -437.608591 416.12 -0.026418      1728.0000   
367.0    -437.987855 0.410577   -437.577278 397.05 -0.132386      1728.0000   
368.0    -438.025937 0.328153   -437.697783 317.34 -0.162269      1728.0000   
